hv001,hv002,hv009,hv010,hv011,hv012,hv014,hv024,hv025,hv027,hv206,hv201,hv204,hv205,hv225,hv226,hv213,hv207,hv208,hv243a,hv221,hv210,hv211,hv212,hv243c,hv243d,hv209,hv244,hv245,hv246,hv247
4,63,7,2,0,7,1,1,2,0,0,31,60.0,22,0.0,7,34,0,0,1,0,1.0,1.0,0.0,0,0,0,1,40.0,1,0
4,71,3,0,1,2,0,1,2,1,0,14,20.0,23,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,1
4,79,3,1,0,3,0,1,2,0,0,13,996.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,20.0,0,0
4,94,4,2,0,2,0,1,2,1,0,42,120.0,23,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,20.0,1,0
4,102,4,0,0,4,1,1,2,0,0,32,60.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,10.0,1,0
4,109,5,1,0,5,0,1,2,0,0,32,30.0,23,0.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,1,60.0,1,0
4,117,3,0,0,3,1,1,2,0,0,42,30.0,23,0.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,15.0,1,0
4,125,3,1,1,3,1,1,2,1,0,41,30.0,23,1.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,1,0
4,140,4,1,0,4,0,1,2,0,0,32,15.0,24,0.0,8,34,1,0,1,0,0.0,0.0,0.0,0,0,0,1,80.0,0,0
4,148,3,1,0,3,0,1,2,1,0,32,60.0,24,0.0,7,34,1,1,1,0,1.0,0.0,0.0,0,0,0,0,,1,0
4,156,3,1,0,3,1,1,2,0,0,14,10.0,24,0.0,7,34,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,0,1
4,164,5,2,0,1,0,1,2,0,0,32,30.0,24,0.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,1,10.0,1,1
5,3,6,1,1,6,2,1,2,1,0,42,30.0,24,1.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,50.0,1,0
5,7,8,1,0,7,2,1,2,0,0,21,10.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,150.0,1,0
5,11,6,1,0,6,1,1,2,0,0,32,30.0,24,1.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,0,,1,0
5,16,3,0,0,3,1,1,2,1,0,32,30.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,60.0,1,0
5,20,6,1,0,6,1,1,2,0,0,31,60.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,110.0,1,0
5,24,8,1,0,7,1,1,2,0,0,31,30.0,24,0.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,1,80.0,1,1
5,29,3,0,0,3,0,1,2,1,0,32,20.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,50.0,0,0
5,33,7,2,0,7,1,1,2,0,0,32,90.0,24,0.0,8,34,1,0,1,0,1.0,0.0,0.0,0,0,0,1,250.0,1,0
5,37,5,1,0,5,0,1,2,0,0,32,50.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,100.0,1,0
5,42,2,0,0,2,0,1,2,1,0,32,50.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,20.0,1,0
5,46,1,0,0,1,0,1,2,0,0,32,30.0,24,0.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,40.0,1,0
5,50,4,1,0,4,1,1,2,0,0,32,60.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,30.0,0,0
5,55,1,1,0,1,0,1,2,1,0,42,30.0,24,1.0,8,34,1,0,1,0,0.0,0.0,0.0,0,0,0,1,70.0,0,0
5,59,2,0,0,2,0,1,2,0,0,31,60.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,80.0,1,0
5,63,5,1,0,5,1,1,2,0,0,42,120.0,23,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,0,,1,0
5,68,7,1,0,7,2,1,2,0,0,21,60.0,24,0.0,8,34,0,0,1,0,1.0,0.0,0.0,0,0,0,1,60.0,0,0
5,72,4,1,1,4,2,1,2,1,0,32,20.0,24,1.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,50.0,0,0
5,76,6,1,0,6,2,1,2,0,0,32,30.0,22,1.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,0,,1,0
5,85,4,1,1,4,1,1,2,1,0,31,30.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,60.0,1,0
5,89,4,0,0,4,2,1,2,0,0,32,30.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,50.0,1,1
5,93,3,1,0,3,1,1,2,0,0,31,60.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,100.0,1,1
6,3,4,1,1,4,1,1,2,1,0,21,30.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,50.0,0,1
6,8,3,0,0,3,0,1,2,0,0,21,45.0,31,,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,50.0,1,0
6,14,4,1,0,4,2,1,2,0,0,14,120.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,30.0,1,0
6,24,2,1,0,2,0,1,2,0,0,14,60.0,24,1.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,80.0,1,0
6,30,8,1,0,8,3,1,2,0,0,21,30.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,80.0,1,0
6,35,8,1,1,8,2,1,2,1,0,21,30.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,60.0,1,0
6,40,3,1,0,3,1,1,2,0,0,14,120.0,24,1.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,60.0,0,0
6,45,4,0,0,4,0,1,2,0,0,14,120.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,60.0,1,0
6,51,3,0,1,3,0,1,2,1,0,14,120.0,24,0.0,8,11,0,0,0,0,1.0,0.0,0.0,0,0,0,1,40.0,1,0
6,56,4,1,0,4,2,1,2,0,0,13,996.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,50.0,1,0
6,61,6,0,0,6,0,1,2,0,0,21,180.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,50.0,1,0
6,66,7,2,1,7,2,1,2,1,0,42,120.0,24,0.0,8,11,0,0,0,0,1.0,0.0,0.0,0,0,0,1,60.0,1,0
6,72,3,0,0,3,1,1,2,0,0,21,150.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,60.0,0,0
6,77,4,0,0,1,0,1,2,0,0,21,60.0,24,1.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,20.0,0,0
