DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
TZ201500000283,283,26747.58203,31330.79297,85.14019792,99.72901144,4880.154890999999,0.000337491,2.0,2670.0,2729.75,30.41463415,8.0,0.524180525,0.6578738789999999,0.141472748,0.060204089,0.000334912,1719.967391,296475.3175,129560.33,131986.7679,776.8888889,849.8888889000001,175.89945649999999
TZ201500000284,284,34798.99609,40761.82031,110.76864479999999,129.7489038,5096.724044,0.001109861,2.0,2528.9,2507.7,27.4726776,8.0,0.537789972,0.672234222,0.13508176800000002,0.05770311400000001,0.038042141,1735.161202,274385.8761,142505.27,123691.9085,833.9090909,834.5454545,172.6010929
TZ201500000285,285,32404.441410000003,37956.95703,103.1465406,120.8207467,4822.48248,0.000404364,2.0,2805.25,2801.083333,35.03504043,9.0,0.531269016,0.673700938,0.153963248,0.063597186,0.00035706800000000004,1726.9784370000002,263056.8779,163289.1319,142712.0325,852.2727273,804.0909091,182.1778976
TZ201500000286,286,13595.08789,15924.611330000002,1081.8627199999999,1267.240305,4279.071429,0.061066169000000003,2.0,2023.0,2181.0,21.92857143,7.0,0.455036734,0.584153842,0.089523546,0.040801767,1.14317042,1736.642857,326533.7578,105574.3873,81721.1243,706.0,688.0,75.35714286
TZ201500000287,287,42472.85938,49750.60547,135.1953104,158.3610956,4260.229111,0.003028334,2.0,2082.4,2176.1,26.76612903,7.0,0.456996185,0.586901624,0.090784226,0.040900145,0.05623362900000001,1738.237197,327586.2287,106843.1531,81275.74253999999,704.6,717.5,112.76819409999999
TZ201500000288,288,12743.21094,14926.765630000002,40.56290024,47.51337069,4508.591281,0.000461474,2.0,2189.2,2218.8,26.67213115,7.0,0.50851149,0.633156504,0.10685457300000001,0.042167243,0.000362093,1726.4632149999998,310635.0464,90994.69667,85974.77474,667.1666667000001,724.1666667000001,119.1144414
TZ201500000289,289,51013.83203,59755.078129999994,162.38207069999999,190.2063212,4672.834688,0.000423517,2.0,2688.083333,2723.0,26.92140921,8.0,0.48689073299999996,0.625263947,0.137410905,0.06363427599999999,0.008859651,1707.2005420000003,316821.4126,139851.6775,128674.90199999999,749.7,813.3,215.95934959999997
TZ201500000290,290,8481.925781,9935.307617,26.998808299999997,31.62506637,4758.696721,0.000485122,4.0,2991.5,2989.4,30.07123288,7.0,0.461276258,0.614683291,0.151423724,0.078998645,0.0,1729.5846989999998,395713.972,98028.7013,134275.7996,790.9,973.8,169.2540984
TZ201500000291,291,31928.87695,37399.90625,101.63277190000001,119.047599,5417.093151,0.0,2.266666667,3077.9,3029.6,40.83606557,8.0,0.5208307879999999,0.67121906,0.158666801,0.07806898,0.001185275,1779.8958899999998,273661.8612,83694.61607,213476.5469,1076.1,1092.7,94.82465753
TZ201500000292,292,747.3013916,875.3518065999999,2.378734209,2.7863313389999997,3991.926829,0.0,4.0,3014.666667,3080.555556,28.59620596,8.0,0.481498438,0.6387538979999999,0.168744155,0.089253136,0.0,1706.6287260000001,413963.3863,55340.945120000004,130459.0496,712.3,833.0,443.5772358
